venta_id,producto_id,comprador_id,ubicacion_comprador,fecha_venta,cantidad,metodo_pago,total,tipo_producto,canal,estatus
1,10,1,CDMX,2023-08-30,1,Crédito,979.72,Marca IKAL,Facebook,Entregado
2,10,1,CDMX,2023-06-09,1,Crédito,979.72,Marca IKAL,Web,Entregado
3,10,1,CDMX,2023-08-09,1,Crédito,979.72,Marca IKAL,WhatsApp,Entregado
4,10,2,Toluca,2023-09-09,1,Débito,979.72,Marca IKAL,Web,Entregado
5,10,2,Toluca,2023-10-09,1,Débito,979.72,Marca IKAL,Facebook,Entregado
6,10,4,Toluca,2023-12-09,1,Débito,979.72,Marca IKAL,Facebook,Entregado
7,10,6,Puebla,2023-09-15,1,Débito,979.72,Marca IKAL,Facebook,En preparación
8,10,4,Toluca,2023-09-19,1,Débito,979.72,Marca IKAL,Instagram,Cancelado
9,10,1,CDMX,2023-09-27,1,Débito,979.72,Marca IKAL,WhatsApp,Entregado
10,10,5,Xicotepec de Juárez,2023-06-10,1,Débito,979.72,Marca IKAL,Web,Entregado
11,10,2,Toluca,2023-07-10,1,Débito,979.72,Marca IKAL,Web,Cancelado
12,10,6,Puebla,2023-10-10,1,Crédito,979.72,Marca IKAL,Web,Enviado
13,10,4,Toluca,2023-10-16,1,Crédito,979.72,Marca IKAL,Web,Enviado
14,2,3,CDMX,2023-10-28,1,Crédito,1027.04,Marca IKAL,WhatsApp,Enviado
15,2,1,CDMX,2023-10-30,1,Crédito,1027.04,Marca IKAL,Facebook,Cancelado
16,10,10,CDMX,2023-02-11,1,Débito,979.72,Marca IKAL,Web,Entregado
17,2,14,CDMX,2023-05-11,1,Crédito,1027.04,Marca IKAL,Facebook,Enviado
18,10,14,CDMX,2023-07-11,1,Débito,979.72,Marca IKAL,Web,Entregado
19,10,8,Xicotepec de Juárez,2023-07-11,1,Débito,979.72,Marca IKAL,Facebook,En preparación
20,2,5,Xicotepec de Juárez,2023-08-11,1,Crédito,1027.04,Marca IKAL,Instagram,Entregado
21,2,13,Monterrey,2023-08-11,1,Débito,1027.04,Marca IKAL,Web,Entregado
22,2,8,Xicotepec de Juárez,2023-10-11,1,Crédito,1027.04,Marca IKAL,Instagram,Entregado
23,2,9,Toluca,2023-10-11,1,Débito,1027.04,Marca IKAL,WhatsApp,Cancelado
