producto_id,nombre,tipo,categoria,artesano_id,precio_venta,unidades_vendidas,ingreso_total,costo,utilidad_total
1,Playera nahua 1,Marca IKAL,Playera,0,331.73,73,24216.29,131.51,14616.06
2,Huipil tradicional 2,Marca IKAL,Bordado,0,1027.04,75,77028.0,403.67,46752.75
3,Pulsera tejida 3,Marca IKAL,Accesorio,0,335.54,23,7717.42,135.98,4589.88
4,Mantel bordado a mano 4,Marca IKAL,BORDADO,0,1124.79,74,83234.46,412.92,52678.38
5,Llavero artesanal 5,Marca IKAL,Accesorio,0,294.72,54,15914.88,108.59,10051.02
6,Llavero artesanal 6,Marca IKAL,Accesorio,0,240.8,41,9872.8,97.78,5863.82
7,Rebozo bordado 7,Marca IKAL,BORDADO,0,732.86,17,12458.62,275.45,7775.97
8,Rebozo bordado 8,Marca IKAL,Bordado,0,613.15,36,22073.4,265.46,12516.84
9,Bolsa tejida de mano 9,Marca IKAL,Bolsa,0,942.9,57,53745.3,362.48,33083.94
10,Blusa punto de cruz 10,Marca IKAL,Blusa,0,979.72,84,82296.48,414.09,47512.92
11,Blusa bordada nahua 11,Marca IKAL,Blusa,0,596.55,59,35196.45,229.19,21674.24
12,Blusa punto de cruz 12,Marca IKAL,Blusa,0,1049.0,58,60842.0,410.98,37005.16
13,Pulsera tejida 13,Marca IKAL,Accesorio,0,249.47,51,12722.97,88.54,8207.43
14,Bolsa bordada artesanal 14,Marca IKAL,Bolsa,0,681.09,65,44270.85,279.21,26122.2
15,Bolsa tejida de mano 15,Marca IKAL,Bolsa,0,705.11,50,35255.5,243.73,23069.0
16,Blusa punto de cruz 16,Marca IKAL,BLUSA,0,885.45,36,31876.2,350.29,19265.76
17,Llavero artesanal 17,Marca IKAL,Accesorio,0,136.2,21,2860.2,51.02,1788.78
18,Llavero artesanal 18,Marca IKAL,Accesorio,0,150.45,57,8575.65,54.15,5489.1
19,Mantel bordado a mano 19,Marca IKAL,Bordado,0,938.48,50,46924.0,389.99,27424.5
20,Mantel bordado a mano 20,Marca IKAL,Bordado,0,1250.45,50,62522.5,542.53,35396.0
21,Blusa artesanal floral 21,Marca IKAL,Blusa,0,796.09,32,25474.88,288.54,16241.6
22,Huipil tradicional 22,Marca IKAL,Bordado,0,920.64,45,41428.8,340.37,26112.15
23,Huipil tradicional 23,Marca IKAL,Bordado,0,1049.71,44,46187.24,397.37,28702.96
24,Pulsera tejida 24,Marca IKAL,Accesorio,0,276.07,26,7177.82,105.07,4446.0
25,Cinturón bordado 25,Marca IKAL,Accesorio,0,198.82,12,2385.84,69.68,1549.68
26,Aretes tejidos 26,Marca IKAL,ARETES,0,205.39,5,1026.95,78.6,633.95
27,Playera bordada floral 27,Marca IKAL,Playera,0,407.42,21,8555.82,159.11,5214.51
